Title,Series,Volume,Author,Language,Fiction/Non,Genre,Pgs,Publication_date,year_read
21,0,0,Jeremy Iversen,English,Fiction,Young Adult,261,2011,0
", Said the Shotgun to the Head",0,0,Saul Williams,English,Non-Fiction,Poetry,182,2003,0
13 Little Blue Envelopes,0,0,Maureen Johnson,English,Fiction,Young Adult,320,0,0
A Bite To Remember,Argeneu Novel,0,Lynsay Sands,English,Fiction,Paranormal Romance,362,0,0
A Clash of Kings,A Song of Ice and Fire,2,George R. R. Martin,English,Fiction,Fantasy,824,0,2012
A Dance With Dragons,A Song of Ice and Fire,5,George R. R. Martin,English,Fiction,Fantasy,1125,0,2013
A Density of Souls,0,0,Christopher Rice,English,Fiction,Mystery,274,0,0
A Dirty Job,0,0,Christopher Moore,English,Fiction,Fantasy,384,0,2016
A Feast for Crows,A Song of Ice and Fire,4,George R. R. Martin,English,Fiction,Fantasy,759,0,2012
A Fistful Of Charms,The Hollows,4,Kim Harrison,English,Fiction,Fantasy,510,0,2016
A Game of Thrones,A Song of Ice and Fire,1,George R. R. Martin,English,Fiction,Fantasy,753,0,0
A Long Way Down,0,0,Nick Hornby,English,Fiction,Contemporary,333,0,0
A Mango-Shaped Space,0,0,Wendy Mass,English,Fiction,Young Adult,218,0,0
A Midsummer's Night Dream,0,0,William Shakespeare,English,Fiction,Classic,240,0,2016
A Moveable Feast,0,0,Ernest Hemingway,English,Non-Fiction,Memoir,225,1964,2011
A Perfect Blood ,The Hollows,10,Kim Harrison,English,Fiction,Fantasy,438,0,2016
A Piece Of Cake,0,0,Cupcake Brown,English,Fiction,Autobiography,465,2007,0
A Really Nice Prom Mess,0,0,Brian Sloan,English,Fiction,Young Adult,266,0,0
A Red Herring Without Mustard,Flavia de Luce Mystery,3,Alan Bradley,English,Fiction,Mystery,391,2011,2011
A Reliable Wife,0,0,Robert Goolrick,English,Fiction,Mystery,291,0,0
A Slip of the Keyboard,0,0,Terry Pratchett,English,Non-Fiction,Essays,323,0,2015
A Storm of Swords,A Song of Ice and Fire,3,George R. R. Martin,English,Fiction,Fiction ,1068,0,2012
A Streetcar Named Desire,0,0,Tennessee Williams,English,Fiction,Drama,179,1951,0
A Study in Scarlet,Sherlock Holmes,0,Sir Arthur Conan Doyle,English,Fiction,Mystery,123,0,2013
A Wizard Abroad,Young Wizards,4,Diane Duane,English,Fiction,Young Adult,332,0,0
A Wizard Alone,Young Wizards,6,Diane Duane,English,Fiction,Young Adult,320,0,0
Acceptance,Southern Reach Trilogy,3,Jeff Vandermeer,English,Fiction,Science Fiction,341,0,2014
Acerca de Roderer,0,0,Guillermo Martínez,Spanish,Fiction,Mystery,136,0,0
Acheron,Dark Hunter,15,Sherrilyn Kenyon,English,Fiction,Romance,722,0,0
Ácido Sulfúrico ,0,0, Amelie Nothomb,Spanish,Fiction,Science Fiction,168,0,2015
After Summer,Summer Boys,3,Hailey Abbott,English,Fiction,Fiction,163,2006,0
Agent Out,Fearless FBI,3,Francine Pascal,English,Fiction,Fiction,239,0,0
Agents Of Light and Darkness,Nightside,2,Simon R. Green,English,Fiction,Fantasy,233,0,0
Ain't Myth-Behaving,0,0,Katie MacAlister,English,Fiction,Paranormal Romance,353,0,0
Ajuar Funerario,0,0, Fernando Iwasaki,Spanish,Fiction,Short stories,121,0,2011
Alice I Have Been,0,0, Melanie Benjamin,English,Fiction,Biographical Fiction,345,0,2011
Alice In Wonderland,0,0,Lewis Carroll,English,Fiction,Fantasy,172,0,0
All I Want Is Everything,Gossip Girl,3,Cecily von Ziegesar,English,Fiction,Young Adult,213,0,0
"All Q, No A: More Tales of a 10th Grade Social Climber",0,0,Lauren Mechling,English,Fiction,Young Adult,277,0,0
All Together Dead,Sookie Stackhouse novel,7,Charlaine Harris,English,Fiction,Paranormal Romance,323,0,0
Allegiant,Divergent,3,Veronica Roth,English,Fiction,Young Adult,526,0,2014
Allies of the Night,Cirque Du Freak,8,Darren Shan,English,Fiction,Young Adult,215,0,0
Almost A Goddess,0,0,Judy McCoy,English,Fiction,Paranormal Romance,372,0,0
Alphabet Weekends,0,0,Elizabeth Noble,English,Fiction,Romance,425,0,0
American On Purpose,0,0,Craig Ferguson,English,Non-Fiction,Memoir,268,0,0
Amnesia Moon,0,0,Jonathan Lethem,English,Fiction,Science Fiction,256,0,2015
Anansi Boys ,0,0, Neil Gaiman,English,Fiction,Fantasy,336,0,2016
Anastasia,The Royal Diaries,0,Carolyn Meyer,English,Fiction,Biography,179,0,0
And Then There Were None,0,0,Agatha Christie,English,Fiction,Mystery,275,0,0
Angeles y Demonios,0,0,Dan Brown,Spanish,Fiction,Fiction,606,2000,0
"Angus, Thongs & Full Frontal Snogging                 ",Georgia Nicolson,1,Louise Renninson,English,Fiction,Young Adult,234,0,0
Annihilation,Southern Reach Trilogy,1,Jeff Vandermeer,English,Fiction,Science Fiction,195,0,2014
Antígona,0,0, José Watanabe ,Spanish,Fiction,Historical Fiction,50,0,2012
Antígona,0,0, Sofocles ,Spanish,Fiction,Classic,80,0,2012
Aristotle and Dante Discover the Secrets of the Universe ,0,0, Benjamin Alire Saenz,English,Fiction,Young Adult,359,0,2016
Attachments ,0,0, Rainbow Rowell,English,Fiction,Contemporary,323,0,2015
August: Osage County ,0,0, Tracy Letts,English,Fiction,Drama,153,0,2016
Aura,0,0,Carlos Fuentes,Spanish,Fiction,Classic,62,0,0
Authority,Southern Reach Trilogy,2,Jeff Vandermeer,English,Fiction,Science Fiction,341,0,2014
Away Laughing On A Fast Camel,Georgia Nicolson,5,Louise Renninson,English,Fiction,Young Adult,266,0,0
Back to the Divide,Divide,2,Elizabeth Kay,English,Fiction,Young Adult,384,0,0
Backwater,0,0,Joan Bauer,English,Fiction,Young Adult,185,1999,0
Bad Boys In Kilts,0,0,Donna Kauffman,English,Fiction,Romance,306,0,0
Bad Girl Confessions of a teenage delinquent,0,0,Abigail Vona,English,Non-Fiction,Biography,267,0,0
Bad Monkeys,0,0,Matt Ruff,English,Fiction,Science Fiction,227,0,0
Bad Things Happen,0,0,Harry Dolan,English,Fiction,Mystery,338,0,2011
Barbarian,Sons of the Dark,1,Lynne Ewing,English,Fiction,Paranormal Romance,264,0,0
Battle Royale,0,0,Koushun Takami,English,Fiction,Horror,384,0,2012
Be Mine Tonight,0,0,Kathryn Smith,English,Fiction,Paranormal Romance,370,0,0
Beauty's Punishment,Sleeping Beauty,2,A.N. Roquelaure,English,Fiction,Erotica,233,1984,0
Beauty's Release,Sleeping Beauty,3,A.N. Roquelaure,English,Fiction,Erotica,238,1985,0
Because I'm Worth It,Gossip Girl,4,Cecily von Ziegesar,English,Fiction,Young Adult,232,0,0
Bergdorf Blondes,0,0,Plum Sykes,English,Fiction,Chick Lit,310,0,0
Best Foot Forward,0,0,Joan Bauer,English,Fiction,Young Adult,183,2005,0
Big Boned,Heather Wells,3,Meg Cabot,English,Fiction,Chick Lit,280,0,0
Bird Box,0,0,Josh Malerman,English,Fiction,Horror,262,0,2014
Bite Me If You Can,Argeneu Novel,0,Lynsay Sands,English,Fiction,Paranormal Romance,356,0,0
Bitten & Smitten,0,0,Michelle Rowen,English,Fiction,Paranormal Romance,369,0,0
Black House,0,0,Stephen King,English,Fiction,Horror,624,0,0
Black Magic Sanction,The Hollows,8,Kim Harrison,English,Fiction,Fantasy,487,0,2016
Blankets,0,0,Craig Thompson,English,Non-Fiction,Graphic Novel,582,0,2012
Blood Bound,Mercy Thompson,2,Patricia Briggs,English,Fiction,Fantasy,292,2007,0
Bloodlust,Vampire Beach,1,Alex Duval,English,Fiction,Young Adult,196,0,0
Bloodsucking Fiends,A Love Story,1,Christopher Moore,English,Fiction,Fantasy,290,0,0
Blow Me Down,0,0,Katie MacAlister,English,Fiction,Romance,359,0,0
Boink: College Sex By the People Having It,0,0,Alecia Oleyourryk,English,Non-Fiction,Sexuality,261,0,0
Bone Crossed,Mercy Thompson,4,Patricia Briggs,English,Fiction,Fantasy,287,2009,2011
Boy Proof,0,0,Cecil Castellucci,English,Fiction,Young Adult,203,0,0
Bras and Broomsticks,Rachel & Miri,1,Sarah Mlynowski,English,Fiction,Young Adult,310,0,0
Break Every Rule,Insiders,4,J. Minter,English,Fiction,Young Adult,247,0,0
Breaking Dawn,Twilight,4,Stephenie Meyer,English,Fiction,Young Adult,754,0,0
Caparazones,0,0,Yolanda Arroyo,Spanish,Fiction,LGBT,172,0,2011
Carnal Machines,0,0,D.L.King,English,Fiction,Erotica,198,0,2011
Catching Fire,Hunger Games,2,Suzanne Collins,English,Fiction,Young Adult,391,0,2011
Cell,0,0,Stephen King,English,Fiction,Science Fiction,449,0,0
Chicken Soup for the Kid's Soul,0,0,Various Authors,English,Non-Fiction,Self Help,366,0,0
Chicken Soup for the Teenage Soul I,0,0,Various Authors,English,Non-Fiction,Self Help,334,0,0
Chicken Soup for the Teenage Soul II,0,0,Various Authors,English,Non-Fiction,Self Help,234,0,0
Chicken Soup for the Teenage Soul III,0,0,Various Authors,English,Non-Fiction,Self Help,343,0,0
Chicken Soup for the Teenage Soul on Tough Stuff,0,0,Various Authors,English,Non-Fiction,Self Help,325,0,0
Child of God ,0,0, Cormac McCarthy,English,Fiction,Horror,186,0,2016
China Rich Girlfriend ,Crazy Rich Asians,2, Kevin Kwan,English,Fiction,Contemporary,496,0,2018
Cirque Du Freak: A living nightmare,Cirque Du Freak,1,Darren Shan,English,Fiction,Young Adult,257,0,0
Club Dead,Sookie Stackhouse novel,3,Charlaine Harris,English,Fiction,Paranormal Romance,292,0,0
Cocktails For Three,0,0,Madeleine Wickham,English,Fiction,Chick Lit,301,0,0
Codex,0,0,Lev Grossman,English,Fiction,Mystery,348,0,0
Confessions of a Backup Dancer,0,0,Tucker Shaw,English,Non-Fiction,Biography,265,0,0
Confessions of a Boyfriend Stealer,0,0,Robynn Clairday,English,Fiction,Young Adult,228,0,0
Coyote Blue,0,0,Christopher Moore,English,Fiction,Fantasy,294,0,0
Crazy Rich Asians ,Crazy Rich Asians,1, Kevin Kwan,English,Fiction,Contemporary,544,0,2018
Crónica de una muerte anunciada,0,0,Gabriel García Márquez,Spanish,Fiction,Classic,118,0,0
Cross My Heart,0,0,Carly Phillips,English,Fiction,Chick Lit,312,0,0
Cualquier miércoles soy tuya,0,0,Mayra Santos-Febres,Spanish,Fiction,Mystery,239,0,0
Cuando Era Puertorriqueña,0,0,Esmeralda Santiago,Spanish,Fiction,Autobiography,296,0,0
Cupcake,Cyd Charisse ,3,Rachel Cohn,English,Fiction,Young Adult,248,0,0
Dance With the Devil,Dark Hunter,4,Sherrilyn Kenyon,English,Fiction,Paranormal Romance,343,0,0
Dancing In My Nuddy Pants,Georgia Nicolson,4,Louise Renninson,English,Fiction,Young Adult,206,0,0
Dandy In The Underworld,0,0,Sebastian Horseley,English,Non-Fiction,Memoir,325,0,0
Dark Lover,Black Dagger Brotherhood,1,J.R. Ward,English,Fiction,Paranormal Romance,393,0,2011
Dark Side of the Moon,Dark Hunter,10,Sherrilyn Kenyon,English,Fiction,Paranormal Romance,339,0,0
"Date Me Baby, One More Time",Inmortally Sexy,1,Stephanie Rowe,English,Fiction,Paranormal Romance,300,0,0
Dates From Hell,0,0,Kim Harrison,English,Fiction,Fantasy,404,0,0
Days Gone Bye,The Walking Dead,1,Robert Kirkman,English,Fiction,Graphic Novel,144,0,2012
Dead and Dateless,Vampire Love,2,Kimberly Raye,English,Fiction,Paranormal Romance,330,0,0
Dead and Gone,Sookie Stackhouse novel,9,Charlaine Harris,English,Fiction,Paranormal Romance,312,0,0
Dead as a Doornail,Sookie Stackhouse novel,5,Charlaine Harris,English,Fiction,Paranormal Romance,295,0,0
Dead End Dating,Vampire Love,1,Kimberly Raye,English,Fiction,Paranormal Romance,334,0,0
Dead in the Family,Sookie Stackhouse novel,10,Charlaine Harris,English,Fiction,Paranormal Romance,311,0,0
Dead Reckoning,Sookie Stackhouse novel,11,Charlaine Harris,English,Fiction,Paranormal Romance,325,0,2011
Dead to the World,Sookie Stackhouse novel,4,Charlaine Harris,English,Fiction,Paranormal Romance,291,0,0
Dead Until Dark,Sookie Stackhouse novel,1,Charlaine Harris,English,Fiction,Paranormal Romance,292,0,0
Dead Witch Walking,The Hollows,1,Kim Harrison,English,Fiction,Fantasy,416,0,2016
Death Of A Salesman,0,0,Arthur Miller,English,Fiction,Drama,112,1949,0
Deception Point,0,0,Dan Brown,English,Fiction,Science Fiction,558,2001,0
Deep Wizardry,Young Wizards,2,Diane Duane,English,Fiction,Young Adult,356,0,0
"Define ""Normal""",0,0,Julie Anne Peters,English,Fiction,Young Adult,196,0,0
Definitely Dead,Sookie Stackhouse novel,6,Charlaine Harris,English,Fiction,Paranormal Romance,324,0,0
Devil May Cry,Dark Hunter,12,Sherrilyn Kenyon,English,Fiction,Paranormal Romance,358,0,0
Devil's Corner,0,0,Lisa Scottoline,English,Fiction,Thriller,450,0,0
Diary of a Madman and Other Stories,0,0,Nikolai Gogol,English,Fiction,Short stories,188,0,2014
Dicen que los dormidos,0,0,Sergio Gutiérrez Negrón,Spanish,Fiction,Thriller,150,0,2016
Digital Fortress,0,0,Dan Brown,English,Fiction,Science Fiction,430,1995,0
Divergent,0,0, Veronica Roth,English,Fiction,Young Adult,487,0,2014
Divine Madness,0,0,Melanie Jackson,English,Fiction,Paranormal Romance,318,0,0
Do The Work,0,0,Steven Pressfield,English,Non-Fiction,Psychology,98,0,2012
Doggie Dreams,Tuned In,6,Julia DeVillers,English,Fiction,Young Adult,139,0,0
Don Juan Tenorio,0,0,José Zorrilla,Spanish,Fiction,Drama,189,0,0
Double Dating With the Dead,0,0,Karen Kelley,English,Fiction,Paranormal Romance,300,0,2011
Drawing of the Three,Dark Tower,2,Stephen King,English,Fiction,Science Fiction,463,0,0
Dream-Chaser,Dark Hunter,14,Sherrilyn Kenyon,English,Fiction,Paranormal Romance,359,0,0
Dreamland,0,0,Sarah Dessen,English,Fiction,Young Adult,250,0,0
Dust of Eden,0,0,Mariko Nagai,English,Fiction,Historical Fiction,128,0,2015
Eclipse,Twilight,3,Stephenie Meyer,English,Fiction,Young Adult,629,0,0
Ecstasia,Primavera,2,Francesca Lia Block,English,Fiction,Young Adult,196,1993,0
Edipo Rey,0,0,Sophocles,Spanish,Fiction,Classic,41,0,0
El Bosque de los Pigmeos,La Ciudad de las Bestias,3,Isabel Allende,Spanish,Fiction,Young Adult,290,2004,0
El Caballero de la Armadura Oxidada,0,0,Robert Fisher,Spanish,Fiction,Classic,93,0,0
El Código de Da Vinci,0,0,Dan Brown,Spanish,Fiction,Science Fiction,557,2003,0
El Cuento del Grial,0,0, Chrétien de Troyes ,English,Fiction,Classic,257,0,2012
El Diario de Adán y Eva,0,0,Mark Twain,Spanish,Fiction,Classic,117,1905,2011
El Killer,0,0,Josue Montijo,Spanish,Fiction,Thriller,135,0,0
El Libro del mal amor,0,0,Fernando Iwasaki,Spanish,Fiction,Short stories,214,0,2011
El Perfume,0,0,Patrick Suskind,Spanish,Fiction,Thriller,308,0,0
El pergamino de la seducción,0,0,Gioconda Belli,Spanish,Fiction,Historical Fiction,402,2005,0
El Reino del Dragón de Oro,La Ciudad de las Bestias,2,Isabel Allende,Spanish,Fiction,Young Adult,420,2003,0
Eleanor & Park,0,0,Rainbow Rowell,English,Fiction,Contemporary,328,0,2015
Elizabeth I,Royal Diaries,0,Kathryn Lasky,English,Fiction,Biography,214,0,0
En el ojo del huracán,0,0,Mayra Santos-Febres,Spanish,Fiction,Short stories,321,0,2011
Escape,Sons of the Dark,2,Lynne Ewing,English,Fiction,Young Adult,252,0,0
Esperando a Loló,0,0,Ana Lydia Vega,Spanish,Fiction,Essays,111,0,0
Eternal Hunger,Candace Steele Vampire Killer,3,Cameron Dean,English,Fiction,Romance,311,0,0
Even Vampires Get The Blues,0,0,Katie MacAlister,English,Fiction,Paranormal Romance,344,0,0
Ever After ,The Hollows,11,Kim Harrison,English,Fiction,Fantasy,435,0,2016
Every Boy's Got One,0,0,Meg Cabot,English,Fiction,Chick Lit,328,0,0
Every Which Way But Dead,The Hollows,3,Kim Harrison,English,Fiction,Fantasy,501,0,2016
Everything Is Illuminated,0,0,Jonathan Safran Foer,English,Fiction,Contemporary,382,0,0
Exquisito cadáver,0,0,Rafael Acevedo,Spanish,Fiction,Mystery,207,2001,2011
Extreme Bachelor,0,0,Julia London,English,Fiction,Romance,343,0,0
Fables: Animal Farm Vol. 2,Fables,2,Bill Willingham,English,Fiction,Graphic Novel,128,0,2015
Fables: Legends In Exile Vol. 1,Fables,1,Bill Willingham,English,Fiction,Graphic Novel,128,0,2015
Faerie Wars,Faerie Wars,1,Herbie Brennan,English,Fiction,Young Adult,368,2003,0
Faery Magic,0,0,Jo Beverly,English,Fiction,Romance,379,1998,0
Fake Boyfriend,0,0,Kate Brian,English,Fiction,Young Adult,262,2007,0
Fanfarlo ,0,0, Charles Baudelaire,English,Fiction,Classic,64,0,2014
Fangirl,0,0,Rainbow Rowell,English,Fiction,Contemporary,483,0,2015
Fantasy Lover,Dark Hunter,1,Sherrilyn Kenyon,English,Fiction,Paranormal Romance,307,0,0
Fast Friends,Tuned In,1,Julia DeVillers,English,Fiction,Young Adult,130,0,0
Fate of the Fallen ,0,0, Kel Kade,English,Fiction,Fantasy,400,0,2019
Fe en disfraz,0,0,Mayra Santos-Febres,Spanish,Fiction,Historical Fiction,115,0,2011
Fire Me Up,Green Dragons novel,2,Katie MacAlister,English,Fiction,Paranormal Romance,352,0,0
First Among Sequels,Thursday Next,5,Jasper Fforde,English,Fiction,Fantasy,362,0,2011
First Kiss,Bridesmaid Chronicles,2,Kylie Adams,English,Fiction,Romance,277,0,0
Flavor of the Week,0,0,Tucker Shaw,English,Fiction,Young Adult,219,0,0
Fledgeling,0,0,Olivia Butler,English,Fiction,Science Fiction,310,0,2014
Flipped,0,0,Wendelin Van Draanen,English,Fiction,Young Adult,212,0,0
Fluke,0,0,Christopher Moore,English,Fiction,Fantasy,311,0,0
Fool,0,0,Christopher Moore,English,Fiction,Fantasy,311,0,0
For A Few Demons More,The Hollows,5,Kim Harrison,English,Fiction,Fantasy,456,0,2016
Forever Odd,0,0,Dean Koontz,English,Fiction,Thriller,364,0,0
Formas de volver a casa,0,0,Alejandro Zambra,Spanish,Fiction,Contemporary,164,0,2014
Frankenstein,0,0,Mary Shelley,English,Fiction,Classic,213,0,0
French Kiss,0,0,Susan Johnson,English,Fiction,Chick Lit,300,0,0
Frogs and French Kisses,Rachel & Miri,2,Sarah Mlynowski,English,Fiction,Young Adult,277,0,0
From Dead to Worse,Sookie Stackhouse novel,8,Charlaine Harris,English,Fiction,Paranormal Romance,303,0,0
Frost Burned,Mercy Thompson,7,Patricia Briggs ,English,Fiction,Fantasy,342,0,2013
Fun Home,0,0,Alison Bechdel,English,Non-Fiction,Graphic Novel,232,0,2014
Funny Little Monkey,0,0,Andrew Auseon,English,Fiction,Young Adult,296,2005,0
Genevieve,0,0,Eric Jerome Dickey,English,Fiction,Contemporary,290,0,0
Gentlemen & Players,0,0,Joanne Harris,English,Fiction,Thriller,422,0,0
Getting the Girl,0,0,Markus Zusak,English,Fiction,Young Adult,250,0,0
Ghost of a Chance,0,0,Katie MacAlister,English,Fiction,Paranormal Romance,256,0,0
Gifts,0,0,Ursula K. Le Guin,English,Fiction,Young Adult,274,0,0
Gilgamesh,0,0,Stephen Mitchell,English,Fiction,Classic,290,0,2015
Gingerbread,Cyd Charisse ,1,Rachel Cohn,English,Fiction,Young Adult,172,0,0
Girls for Breakfast,0,0,David Yoo,English,Fiction,Young Adult,294,0,0
Girls in Pants The Third Summer of the Sisterhood,Traveling Pants,3,Ann Brashares,English,Fiction,Young Adult,338,2003,0
Girls We Love,Insiders,6,J. Minter,English,Fiction,Young Adult,215,0,0
GIT-R-DONE,0,0,Larry The Cable Guy,English,Non-Fiction,Humor,267,0,0
Goddess of the Night,Daughters of the Moon,1,Lynne Ewing,English,Fiction,Young Adult,294,0,0
Gone With The Nerd,0,0,Vicki Lewis Thompson,English,Fiction,Romance,386,0,0
Good Omens,0,0,Neil Gaiman,English,Fiction,Fantasy,412,1990,0
Gossip Girl,Gossip Girl,1,Cecily von Ziegesar,English,Fiction,Young Adult,199,0,0
Grind,0,0,Robin Wasserman,English,Fiction,Young Adult,126,0,0
Guilty Little Secrets,0,0,Connie Lane,English,Fiction,Romance,323,0,0
Guitar Girl,0,0,Sarra Manning,English,Fiction,Young Adult,217,0,0
Hacking Harvard,0,0,Robin Wasserman,English,Fiction,Young Adult,320,0,0
Half-Resurrection Blues,Bone Street Rumba,1,Daniel José Older,English,Fiction,Fantasy,326,0,2015
Harmony's Way,0,0,Lora Leigh,English,Fiction,Paranormal Romance,312,0,0
Harry Potter and the Chamber of Secrets,Harry Potter,2,J.K. Rowling,English,Fiction,Fantasy,341,0,2011
Harry Potter and the Deathly Hallows,Harry Potter,7,J.K. Rowling,English,Fiction,Fantasy,759,0,2011
Harry Potter and the Goblet of Fire,Harry Potter,4,J.K. Rowling,English,Fiction,Fantasy,734,0,2011
Harry Potter and the Half-Blood Prince,Harry Potter,6,J.K. Rowling,English,Fiction,Fantasy,652,0,2011
Harry Potter and the Order of the Poenix,Harry Potter,5,J.K. Rowling,English,Fiction,Fantasy,870,0,2011
Harry Potter and the Prisoner of Azkaban,Harry Potter,3,J.K. Rowling,English,Fiction,Fantasy,435,0,2011
Harry Potter and the Sorcerer's Stone,Harry Potter,1,J.K. Rowling,English,Fiction,Fantasy,309,0,2011
Harry Potter y el Cáliz de Fuego,Harry Potter,4,J.K. Rowling,Spanish,Fiction,Fantasy,635,0,0
Harry Potter y el Prisionero de Azkaban,Harry Potter,3,J.K. Rowling,Spanish,Fiction,Fantasy,359,0,0
Harry Potter y la Cámara de los Secretos,Harry Potter,2,J.K. Rowling,Spanish,Fiction,Fantasy,286,0,0
